AAPL
BAC
AMZN
T
GOOG
MO
DAL
AA
AXP
DD
BABA
ABT
UA
AMAT
AMGN
AAL
AIG
ALL
ADBE
GOOGL
ACN
ABBV
MT
LLY
APA
ADP
AKAM
NLY
ATVI
ADSK
ADM
